triangle,target,leg1,leg2,score,adf_p,half_life,resid_std,n
RUNEUSDT|ETHUSDT|SOLUSDT,RUNEUSDT,ETHUSDT,SOLUSDT,-0.14364558825461274,1.3623553903543675e-06,17.237307107906684,0.2197264917901147,1451
CRVUSDT|ETHUSDT|BNBUSDT,CRVUSDT,ETHUSDT,BNBUSDT,-0.14375902994842568,1.5794063075394427e-06,17.250894065054176,0.21593839934009604,1464
AVAXUSDT|BTCUSDT|BNBUSDT,AVAXUSDT,BTCUSDT,BNBUSDT,-0.1440036068102131,2.0669092886862654e-08,17.280430336934426,0.22382262041162232,1442
DASHUSDT|BTCUSDT|SOLUSDT,DASHUSDT,BTCUSDT,SOLUSDT,-0.14404049723410167,4.7934751093351794e-09,17.284859092875188,0.13658040742900168,1451
SKLUSDT|BNBUSDT|SOLUSDT,SKLUSDT,BNBUSDT,SOLUSDT,-0.14428754424761958,1.1393982110769799e-06,17.31436858192902,0.18987372472660077,1366
RVNUSDT|BTCUSDT|SOLUSDT,RVNUSDT,BTCUSDT,SOLUSDT,-0.14452047094080137,0.00148964213073231,17.16369945720829,0.16039935635964614,1289
SKLUSDT|BTCUSDT|ETHUSDT,SKLUSDT,BTCUSDT,ETHUSDT,-0.14498702367097993,4.885659713696818e-07,17.398384212601027,0.19576383042502968,1366
IOSTUSDT|BTCUSDT|ETHUSDT,IOSTUSDT,BTCUSDT,ETHUSDT,-0.1452776722810091,4.163931961176058e-08,17.43331567700274,0.18194314318949711,1657
KSMUSDT|ETHUSDT|BNBUSDT,KSMUSDT,ETHUSDT,BNBUSDT,-0.14528342350136955,2.59510860915477e-07,17.433979678861036,0.17101653163872205,1421
DASHUSDT|BTCUSDT|ETHUSDT,DASHUSDT,BTCUSDT,ETHUSDT,-0.145367334408303,9.565598797937401e-08,17.4440686502778,0.13941377600162147,1674
XTZUSDT|BTCUSDT|ETHUSDT,XTZUSDT,BTCUSDT,ETHUSDT,-0.14557384629636333,9.096373983766139e-08,17.46885063991482,0.14322323278094198,1672
DOTUSDT|BTCUSDT|SOLUSDT,DOTUSDT,BTCUSDT,SOLUSDT,-0.1460595503493483,1.1013769665862613e-09,17.527145909756563,0.12393974295057057,1451
HBARUSDT|BNBUSDT|SOLUSDT,HBARUSDT,BNBUSDT,SOLUSDT,-0.14608688817884669,0.00013133857313691043,17.514665952685174,0.17256307885218436,1267
IOSTUSDT|ETHUSDT|BNBUSDT,IOSTUSDT,ETHUSDT,BNBUSDT,-0.14615642159987072,4.359482704075314e-06,17.538247454059995,0.17908847450562176,1657
CELRUSDT|BTCUSDT|BNBUSDT,CELRUSDT,BTCUSDT,BNBUSDT,-0.14749754697067063,8.29382036290476e-06,17.698710378036928,0.2025070910335801,1255
VETUSDT|BNBUSDT|SOLUSDT,VETUSDT,BNBUSDT,SOLUSDT,-0.14765051706994686,4.029856897107206e-06,17.71757846556597,0.1536795425552288,1451
COMPUSDT|ETHUSDT|SOLUSDT,COMPUSDT,ETHUSDT,SOLUSDT,-0.1477047295642648,4.577570085432507e-05,17.71907446360926,0.15847340417402525,1451
VETUSDT|BTCUSDT|BNBUSDT,VETUSDT,BTCUSDT,BNBUSDT,-0.14771972431386576,2.3554296310625423e-07,17.726338652508318,0.19235088232123726,1664
XLMUSDT|ETHUSDT|BNBUSDT,XLMUSDT,ETHUSDT,BNBUSDT,-0.14772518098957377,0.0001437984683134287,17.709765902551243,0.15578317209652442,1668
CHZUSDT|ETHUSDT|BNBUSDT,CHZUSDT,ETHUSDT,BNBUSDT,-0.14786333354721062,2.726661594864569e-05,17.740328031751435,0.16752902241175874,1322
QTUMUSDT|ETHUSDT|SOLUSDT,QTUMUSDT,ETHUSDT,SOLUSDT,-0.14799722787326328,1.2543065970384876e-06,17.75951682799995,0.15193054077897314,1451
ALGOUSDT|BTCUSDT|SOLUSDT,ALGOUSDT,BTCUSDT,SOLUSDT,-0.14803257240515943,6.114356561958497e-08,17.763901351391258,0.15300771796413676,1451
RUNEUSDT|BTCUSDT|SOLUSDT,RUNEUSDT,BTCUSDT,SOLUSDT,-0.14809259697516663,3.695176950679565e-06,17.770668215785914,0.21203570929148133,1451
ETCUSDT|BNBUSDT|SOLUSDT,ETCUSDT,BNBUSDT,SOLUSDT,-0.14851353060069408,6.355834078338105e-05,17.813996671189283,0.1873100943085955,1451
ALGOUSDT|ETHUSDT|SOLUSDT,ALGOUSDT,ETHUSDT,SOLUSDT,-0.1485811017425905,1.8867532664371183e-06,17.82950579871889,0.15559859581956068,1451
KNCUSDT|ETHUSDT|SOLUSDT,KNCUSDT,ETHUSDT,SOLUSDT,-0.14859823652774382,1.4868889435842258e-07,17.831770540661935,0.18326616687054947,1451
1INCHUSDT|BTCUSDT|ETHUSDT,1INCHUSDT,BTCUSDT,ETHUSDT,-0.1491511501832458,4.2397565352378566e-07,17.89808714491107,0.1322406731788793,1349
OGNUSDT|ETHUSDT|BNBUSDT,OGNUSDT,ETHUSDT,BNBUSDT,-0.14915210547818383,7.646422847304993e-05,17.889076949965293,0.19182006113462685,1252
STORJUSDT|BTCUSDT|ETHUSDT,STORJUSDT,BTCUSDT,ETHUSDT,-0.14924930170096193,3.993373286318318e-08,17.909911412067487,0.22783438659032657,1449
NEOUSDT|ETHUSDT|BNBUSDT,NEOUSDT,ETHUSDT,BNBUSDT,-0.14971013616661843,1.2657320006404785e-06,17.965064452154138,0.14558727974573213,1661
COMPUSDT|ETHUSDT|BNBUSDT,COMPUSDT,ETHUSDT,BNBUSDT,-0.14998213403203328,5.40956832507081e-06,17.997206935644986,0.17138205478863153,1527
RSRUSDT|ETHUSDT|SOLUSDT,RSRUSDT,ETHUSDT,SOLUSDT,-0.15016610898767907,9.824593604845066e-05,18.008143566195674,0.2336164790111168,1416
XRPUSDT|BTCUSDT|ETHUSDT,XRPUSDT,BTCUSDT,ETHUSDT,-0.15034194921119287,9.866184117200638e-09,18.04103272140105,0.18982215090266136,1703
KSMUSDT|BTCUSDT|SOLUSDT,KSMUSDT,BTCUSDT,SOLUSDT,-0.15037180298560016,8.793932485626028e-07,18.044510831082192,0.1699557011006068,1421
SNXUSDT|BTCUSDT|SOLUSDT,SNXUSDT,BTCUSDT,SOLUSDT,-0.15070860318199072,3.3215741128694846e-07,18.08499252294953,0.17365723053533505,1451
LTCUSDT|ETHUSDT|BNBUSDT,LTCUSDT,ETHUSDT,BNBUSDT,-0.15091382385922528,6.479288702702878e-07,18.1095811116426,0.11831495288936175,1668
SKLUSDT|BTCUSDT|SOLUSDT,SKLUSDT,BTCUSDT,SOLUSDT,-0.15193350118210802,1.7831571363982637e-06,18.231806162996595,0.18641497556670555,1366
HBARUSDT|ETHUSDT|BNBUSDT,HBARUSDT,ETHUSDT,BNBUSDT,-0.15193931469047922,0.00028228905445121726,18.19884307632336,0.16951278277153028,1267
ADAUSDT|BTCUSDT|BNBUSDT,ADAUSDT,BTCUSDT,BNBUSDT,-0.15199517883757185,1.2042000901568792e-07,18.23940701010754,0.1674630973701479,1668
SKLUSDT|BTCUSDT|BNBUSDT,SKLUSDT,BTCUSDT,BNBUSDT,-0.15203863801168777,1.5315603226724706e-06,18.24445277416381,0.18082271256173865,1366
ANKRUSDT|ETHUSDT|BNBUSDT,ANKRUSDT,ETHUSDT,BNBUSDT,-0.1526987009459224,4.105782151007473e-06,18.323351419652564,0.1429018234984867,1317
ZILUSDT|BTCUSDT|BNBUSDT,ZILUSDT,BTCUSDT,BNBUSDT,-0.1528835051595587,3.1133587689813983e-05,18.342284588624267,0.18639251754002292,1539
ALGOUSDT|ETHUSDT|BNBUSDT,ALGOUSDT,ETHUSDT,BNBUSDT,-0.15340401031914605,3.749967432477815e-05,18.403981277378552,0.16598824493631284,1541
ALGOUSDT|BTCUSDT|BNBUSDT,ALGOUSDT,BTCUSDT,BNBUSDT,-0.1534157942114475,1.5505206100067375e-07,18.40987669912638,0.17279739076733774,1541
THETAUSDT|ETHUSDT|BNBUSDT,THETAUSDT,ETHUSDT,BNBUSDT,-0.153986833496826,6.315034237422551e-07,18.47834423920827,0.184751993812271,1561
BELUSDT|ETHUSDT|SOLUSDT,BELUSDT,ETHUSDT,SOLUSDT,-0.15416195453137835,0.00028601259946244966,18.465113031829908,0.23296403468806037,1386
C98USDT|BTCUSDT|SOLUSDT,C98USDT,BTCUSDT,SOLUSDT,-0.15451208936413235,2.348919885605824e-05,18.538632019833155,0.1610405269835626,1107
