n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
12,120,3.0,0.5,0.25,0.4840813536033069,0.08915983605854816,-0.42438478180295525,1827,0.19032493299530173,-0.2481500870421442,"{2020: nan, 2021: 1.4417488084384242, 2022: 0.3044522372455675, 2023: 1.4310555602707538, 2024: -0.2481500870421442}"
10,90,3.0,0.75,0.25,0.28756768456329784,0.037695428458936586,-0.3858366838136672,1827,0.18577365952427738,0.12678196376060372,"{2020: nan, 2021: 0.6399939310947941, 2022: 0.12678196376060372, 2023: 0.41587300889694223, 2024: 0.26760923706618056}"
8,90,2.5,0.5,0.2,0.33616115173525735,0.04948314622642891,-0.29082325592549263,1827,0.1845216347797164,-0.3083399375523415,"{2020: nan, 2021: 0.6469479962461391, 2022: 0.5930195254489554, 2023: 0.44842755444363763, 2024: -0.3083399375523415}"
12,90,2.5,0.75,0.25,0.45545150694096276,0.09832661526038788,-0.377561162695609,1827,0.18445820378471428,-0.4409849383159859,"{2020: nan, 2021: 0.9047033220840885, 2022: 0.7906735315970018, 2023: 0.5427981605965374, 2024: -0.4409849383159859}"
12,120,2.5,0.75,0.25,0.5068203195325252,0.1177694746775797,-0.4293368886518244,1827,0.18441338392681428,-0.26760773013129424,"{2020: nan, 2021: 0.8254514638988278, 2022: 0.789971240621952, 2023: 1.0791848396679145, 2024: -0.26760773013129424}"
12,90,3.0,0.75,0.15,0.28168334515468524,0.030387179551260024,-0.2835345957868567,1827,0.18126261200384258,-0.12054700788298886,"{2020: nan, 2021: 0.6435650014957441, 2022: -0.03332742272408758, 2023: 1.1220973814258268, 2024: -0.12054700788298886}"
10,120,2.0,0.75,0.25,0.5187421489207434,0.1266949494719274,-0.4195627179842827,1827,0.17917777768996257,-0.21584318908662542,"{2020: nan, 2021: 0.9190392832917436, 2022: 1.007169011605189, 2023: -0.21584318908662542, 2024: 0.18259195563497355}"
12,90,2.5,0.5,0.15,0.35317853983912156,0.05639490156996918,-0.3065621667070936,1827,0.17003890811015784,-0.4065332586291034,"{2020: nan, 2021: 0.5914856347181593, 2022: 0.6849523245042323, 2023: 0.4940236734554314, 2024: -0.4065332586291034}"
10,120,3.0,0.75,0.25,0.4106938716713936,0.06919859213728374,-0.4166182164984257,1827,0.16989369381483915,-0.12258978378352539,"{2020: nan, 2021: 1.4871555104398635, 2022: 0.3300547590959484, 2023: 0.7676287604107178, 2024: -0.12258978378352539}"
12,120,2.5,0.75,0.2,0.4553497279953592,0.09155846133225509,-0.4104514948468153,1827,0.168160332042061,-0.3232742650775924,"{2020: nan, 2021: 0.8467814190661606, 2022: 0.6902155355777977, 2023: 0.9714469072254516, 2024: -0.3232742650775924}"
8,120,2.5,0.5,0.25,0.4203437126777861,0.07902037296558984,-0.41342752570642693,1827,0.16397341951510297,-0.1911785744666762,"{2020: nan, 2021: 0.6589350829715549, 2022: 0.6046145243014477, 2023: 0.9532232927824223, 2024: -0.1911785744666762}"
12,90,2.5,0.75,0.2,0.4312642548209253,0.08748442487605712,-0.3737003883194552,1827,0.16230662923226608,-0.5132945264818848,"{2020: nan, 2021: 0.8574248410448017, 2022: 0.7722178652536924, 2023: 0.6575937373289765, 2024: -0.5132945264818848}"
12,120,3.0,0.75,0.25,0.456272847225683,0.08124391026752265,-0.41981460876983534,1827,0.15905652249164726,-0.3249766463409465,"{2020: nan, 2021: 1.50727157876259, 2022: 0.2966872830091111, 2023: 1.298365438255196, 2024: -0.3249766463409465}"
