time,S1,S2,S3,S4,S5,ensemble_eq,ensemble_opt,buy_hold,sample
2022-03-23 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.125233481176679,in_sample
2022-03-24 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.2316171765161,in_sample
2022-03-25 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.262141742921948,in_sample
2022-03-26 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.281253277878447,in_sample
2022-03-27 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.50562616259432,in_sample
2022-03-28 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.5346014051693535,in_sample
2022-03-29 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.56314360692211,in_sample
2022-03-30 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.527990315282588,in_sample
2022-03-31 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.379101257454317,in_sample
2022-04-01 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.4522562870310045,in_sample
2022-04-02 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.406873608856358,in_sample
2022-04-03 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.4644006763135335,in_sample
2022-04-04 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.482540275202255,in_sample
2022-04-05 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.376349042450511,in_sample
2022-04-06 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.153313772719006,in_sample
2022-04-07 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.1780837077532595,in_sample
